system:index,tropospheric_HCHO_column_number_density,.geo,latitude,longitude,cluster
26078,0.00018350125652549397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.91886295469597,26.724879702555764]}",26.724879702555764,93.91886295469597,0
26079,0.0001867036305328494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.00869448310792,26.724879702555764]}",26.724879702555764,94.00869448310792,0
26080,0.0001813127833469641,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.09852601151988,26.724879702555764]}",26.724879702555764,94.09852601151988,0
26081,0.00018580605323063797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18835753993183,26.724879702555764]}",26.724879702555764,94.18835753993183,0
26082,0.00019796780881364007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.27818906834378,26.724879702555764]}",26.724879702555764,94.27818906834378,0
26083,0.00019816978005839423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.36802059675573,26.724879702555764]}",26.724879702555764,94.36802059675573,0
26084,0.0002066256984035884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45785212516768,26.724879702555764]}",26.724879702555764,94.45785212516768,0
26085,0.00019878206053366808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.54768365357964,26.724879702555764]}",26.724879702555764,94.54768365357964,0
26086,0.00019766080046036387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.63751518199159,26.724879702555764]}",26.724879702555764,94.63751518199159,0
26087,0.00019228534423698185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.72734671040354,26.724879702555764]}",26.724879702555764,94.72734671040354,0
26088,0.00019430765443058403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.81717823881549,26.724879702555764]}",26.724879702555764,94.81717823881549,0
26089,0.00017909239572997364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.90700976722745,26.724879702555764]}",26.724879702555764,94.90700976722745,0
26090,0.00017654614595756036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.9968412956394,26.724879702555764]}",26.724879702555764,94.9968412956394,0
26091,0.00015877932023225852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.08667282405135,26.724879702555764]}",26.724879702555764,95.08667282405135,0
26092,0.0001416502660131395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.1765043524633,26.724879702555764]}",26.724879702555764,95.1765043524633,0
26093,0.00013664372895445017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.26633588087525,26.724879702555764]}",26.724879702555764,95.26633588087525,0
26094,0.00014262538361462171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.35616740928721,26.724879702555764]}",26.724879702555764,95.35616740928721,0
26095,0.00011865639287431726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.44599893769916,26.724879702555764]}",26.724879702555764,95.44599893769916,0
26096,0.00013793038124726057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.48468722664498,26.814711230967717]}",26.814711230967717,69.48468722664498,0
26097,0.000142584608813215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.57451875505694,26.814711230967717]}",26.814711230967717,69.57451875505694,0
26098,0.00014329694628594295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.66435028346889,26.814711230967717]}",26.814711230967717,69.66435028346889,0
26099,0.00014383647925904385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.75418181188084,26.814711230967717]}",26.814711230967717,69.75418181188084,0
26100,0.00013760186356782684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.84401334029279,26.814711230967717]}",26.814711230967717,69.84401334029279,0
26101,0.00014012021834638457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.93384486870475,26.814711230967717]}",26.814711230967717,69.93384486870475,0
26102,0.00013873006344529017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.0236763971167,26.814711230967717]}",26.814711230967717,70.0236763971167,0
26103,0.00014010062577237854,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.11350792552865,26.814711230967717]}",26.814711230967717,70.11350792552865,0
26104,0.00013781302654923642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.2033394539406,26.814711230967717]}",26.814711230967717,70.2033394539406,0
26105,0.000136096944494799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.29317098235255,26.814711230967717]}",26.814711230967717,70.29317098235255,0
26106,0.00013041123673141242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.38300251076451,26.814711230967717]}",26.814711230967717,70.38300251076451,0
26107,0.0001252864503159017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.47283403917646,26.814711230967717]}",26.814711230967717,70.47283403917646,0
26108,0.00012532296217290125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.56266556758841,26.814711230967717]}",26.814711230967717,70.56266556758841,0
26109,0.0001254875894334264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.65249709600036,26.814711230967717]}",26.814711230967717,70.65249709600036,0
26110,0.00012805587432757222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.74232862441231,26.814711230967717]}",26.814711230967717,70.74232862441231,0
26111,0.00011966517553292052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.83216015282427,26.814711230967717]}",26.814711230967717,70.83216015282427,0
26112,0.00012475840090975487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.92199168123622,26.814711230967717]}",26.814711230967717,70.92199168123622,0
26113,0.00012868997270717194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.01182320964817,26.814711230967717]}",26.814711230967717,71.01182320964817,0
26114,0.0001226128750188283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.10165473806012,26.814711230967717]}",26.814711230967717,71.10165473806012,0
26115,0.0001249114860078739,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.19148626647208,26.814711230967717]}",26.814711230967717,71.19148626647208,0
26116,0.00012883439732608914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.28131779488403,26.814711230967717]}",26.814711230967717,71.28131779488403,0
26117,0.00013509955709807477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.37114932329598,26.814711230967717]}",26.814711230967717,71.37114932329598,0
26118,0.0001327954478010274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.46098085170793,26.814711230967717]}",26.814711230967717,71.46098085170793,0
