frp,hcho
2.25,0.00022715055557228056
5.59,0.00022715055557228056
5.59,0.00022715055557228056
5.59,0.00022715055557228056
1.84,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
1.59,0.00022715055557228056
0.92,0.00020898131195545925
0.92,0.00020898131195545925
0.92,0.00020898131195545925
1.24,0.00020898131195545925
1.24,0.00020898131195545925
5.59,0.00022715055557228056
5.59,0.00022715055557228056
5.59,0.00022715055557228056
1.84,0.00022715055557228056
1.84,0.00022715055557228056
1.84,0.00022715055557228056
2.22,0.00022715055557228056
0.84,0.00022715055557228056
0.84,0.00022715055557228056
0.84,0.00022715055557228056
0.84,0.00022715055557228056
0.84,0.00022715055557228056
0.92,0.00020898131195545925
0.92,0.00020898131195545925
0.92,0.00020898131195545925
0.92,0.00020898131195545925
2.22,0.00022715055557228056
2.01,0.00022715055557228056
2.01,0.00022715055557228056
2.01,0.00022715055557228056
2.91,0.00022715055557228056
2.91,0.00022715055557228056
2.91,0.00022715055557228056
0.63,0.00022715055557228056
0.63,0.00022715055557228056
1.16,0.00022508460570922685
1.16,0.00022508460570922685
1.16,0.00022508460570922685
2.01,0.00022715055557228056
2.01,0.00022715055557228056
2.01,0.00022715055557228056
2.91,0.00022715055557228056
6.93,0.00022715055557228056
6.93,0.00022715055557228056
6.93,0.00022715055557228056
0.63,0.00022715055557228056
0.9,0.00022508460570922685
0.9,0.00022508460570922685
0.9,0.00022508460570922685
1.16,0.00022508460570922685
1.16,0.00022508460570922685
2.01,0.00022715055557228056
2.01,0.00022715055557228056
2.91,0.00022715055557228056
6.93,0.00022715055557228056
6.93,0.00022715055557228056
6.93,0.00022715055557228056
1.2,0.00022715055557228056
0.9,0.00022508460570922685
0.9,0.00022508460570922685
0.9,0.00022508460570922685
1.16,0.00022508460570922685
1.16,0.00022508460570922685
1.53,0.00022715055557228056
6.93,0.00022715055557228056
6.93,0.00022715055557228056
6.93,0.00022715055557228056
1.2,0.00022715055557228056
0.9,0.00022508460570922685
0.9,0.00022508460570922685
0.9,0.00022508460570922685
1.16,0.00022508460570922685
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.2,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
1.53,0.00022715055557228056
